year,price_index,Total price (nominal),Total price (real 2026),"Taxes, levies & surcharges (nominal)","Taxes, levies & surcharges (real 2026)",Grid fees (nominal),Grid fees (real 2026),Procurement & sales (nominal),Procurement & sales (real 2026)
1998,0.8397,17.1,28.89,4.0,6.76,,,,
2010,1.0,23.7,33.63,9.7,13.76,5.8,8.23,8.2,11.63
2011,1.022,25.2,34.98,11.3,15.69,5.9,8.19,8.0,11.11
2012,1.0414,25.9,35.29,11.6,15.8,6.1,8.31,8.2,11.17
2013,1.057,28.8,38.66,14.3,19.19,6.6,8.86,7.9,10.6
2014,1.0676,29.1,38.67,15.1,20.07,6.6,8.77,7.4,9.83
2015,1.0729,29.6,39.14,15.0,19.84,6.3,8.33,8.3,10.98
2016,1.0783,29.8,39.21,15.7,20.66,6.6,8.68,7.5,9.87
2017,1.0945,30.4,39.41,16.2,21.0,7.6,9.85,6.6,8.56
2018,1.1142,30.3,38.58,16.1,20.5,7.3,9.3,7.0,8.91
2019,1.1298,31.2,39.18,16.1,20.22,7.3,9.17,7.8,9.8
2020,1.1354,32.3,40.36,16.3,20.37,7.7,9.62,8.3,10.37
2021,1.1706,32.8,39.75,16.5,20.0,7.7,9.33,8.6,10.42
2022,1.2514,46.3,52.49,14.2,16.1,8.0,9.07,24.1,27.32
2023,1.3252,47.0,50.32,12.6,13.49,9.3,9.96,25.1,26.87
2024,1.3544,40.2,42.11,11.7,12.26,11.4,11.94,17.1,17.91
2025,1.3842,39.3,40.28,12.6,12.92,10.9,11.17,15.7,16.09
2026,1.4188,37.2,37.2,12.6,12.6,9.3,9.3,15.4,15.4
